 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
315,652,2.22163,85.9833,0.0190823,78,271,2.22162,-85.9833,0.0106694,0.00837813,-8.1188e-05,0.0106722,0.00837526,-0.0353751
324,652,2.29948,85.9741,0.0217297,87,271,2.29947,-85.9741,0.0120314,0.00871092,-7.36705e-05,0.0120331,0.00870928,-0.0221719
207,661,0.8556,86.0729,0.026236,-30,262,0.855606,-86.0729,0.0214481,0.00913878,-0.000671663,0.0214847,0.00910224,-0.0543501
216,661,1.5389,86.0288,0.0237641,-21,262,1.53889,-86.0288,0.0185934,0.00894858,-0.000636966,0.0186353,0.00890669,-0.0656624
225,661,1.67159,86.0333,0.0213103,-12,262,1.67159,-86.0333,0.0162933,0.00885275,-0.000599081,0.0163412,0.00880482,-0.0798305
234,661,1.78201,86.0291,0.0197551,-3,262,1.78201,-86.0291,0.0144934,0.008801,-0.000555859,0.0145471,0.00874723,-0.096436
243,661,1.86117,86.0101,0.0169552,6,262,1.86118,-86.0101,0.0131327,0.00878663,-0.000519152,0.0131939,0.00872548,-0.117254
252,661,1.92491,86.0005,0.0168526,15,262,1.92491,-86.0005,0.011985,0.00879499,-0.00048159,0.0120561,0.00872387,-0.146615
261,661,1.97038,85.991,0.0187454,24,262,1.97037,-85.991,0.0110441,0.00882619,-0.000444888,0.01113,0.00874028,-0.190758
270,661,2.00037,85.9906,0.0200837,33,262,2.00037,-85.9906,0.0103093,0.00888108,-0.000410427,0.0104188,0.00877154,-0.260819
279,661,2.04154,85.9816,0.0190228,42,262,2.04153,-85.9816,0.00977995,0.00896023,-0.000379487,0.00992865,0.00881153,-0.373472
288,661,2.08403,85.983,0.0192899,51,262,2.08405,-85.983,0.00945568,0.00906392,-0.000353263,0.00966374,0.00885587,-0.53226
297,661,2.11526,85.9958,0.0186988,60,262,2.11526,-85.9958,0.00933629,0.00919217,-0.000332879,0.00960482,0.00892364,-0.678802
306,661,2.17285,85.9954,0.0190387,69,262,2.17285,-85.9954,0.00965212,0.00934457,-0.000300924,0.00983628,0.00916041,-0.549191
315,661,2.20875,86.006,0.0185799,78,262,2.20874,-86.006,0.0104625,0.00958822,-0.000292744,0.0105515,0.00949925,-0.29504
324,661,2.27212,86.006,0.0201597,87,262,2.27213,-86.006,0.0117959,0.00991233,-0.000313282,0.0118466,0.00986159,-0.160566
207,670,0.999106,86.2047,0.0256263,-30,253,0.9991,-86.2047,0.0215214,0.0102687,-0.000510158,0.0215445,0.0102457,-0.0452129
216,670,1.61329,86.0898,0.0218248,-21,253,1.6133,-86.0898,0.018672,0.0101002,-0.000513539,0.0187026,0.0100695,-0.0596258
225,670,1.73337,86.0879,0.0204427,-12,253,1.73337,-86.0879,0.016373,0.0100188,-0.000510983,0.0164138,0.009978,-0.0797344
234,670,1.80861,86.0874,0.0198273,-3,253,1.80861,-86.0874,0.014571,0.00996907,-0.000501717,0.0146251,0.009915,-0.107342
243,670,1.86991,86.0584,0.0181177,6,253,1.8699,-86.0583,0.0131889,0.00995672,-0.000495622,0.0132632,0.00988243,-0.148787
252,670,1.92262,86.0394,0.0166705,15,253,1.92262,-86.0394,0.0120179,0.00996488,-0.000488042,0.012128,0.00985477,-0.221902
