 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
324,652,0.213097,98.097,0.0216,87,271,0.213104,-98.097,0.00992927,0.0155552,0.00494695,0.018433,0.00705144,1.04391
207,661,-1.61222,99.4225,0.0264582,-30,262,-1.61223,-99.4225,0.0349822,0.0199514,-0.00179944,0.0351947,0.019739,-0.117504
216,661,-1.17821,99.1883,0.0267002,-21,262,-1.17821,-99.1884,0.0302893,0.0195337,-0.00142896,0.0304759,0.0193471,-0.129856
225,661,-0.937068,99.2728,0.0268298,-12,262,-0.937073,-99.2728,0.0262611,0.0191436,-0.000986214,0.0263952,0.0190095,-0.13517
234,661,-0.673405,99.3331,0.0264283,-3,262,-0.673401,-99.3331,0.0229473,0.0187639,-0.000507826,0.0230081,0.0187032,-0.119088
243,661,-0.300947,99.0672,0.0230117,6,262,-0.300949,-99.0673,0.0201957,0.0184387,-7.9252e-06,0.0201957,0.0184387,-0.00451057
252,661,-0.154351,99.4803,0.0241032,15,262,-0.154358,-99.4803,0.0177166,0.0181182,0.000507261,0.0184629,0.0173718,0.973867
261,661,-0.0483007,99.6219,0.0271607,24,262,-0.0483093,-99.6219,0.0155084,0.0178053,0.00103687,0.0182042,0.0151096,1.20361
270,661,-0.0176454,99.6966,0.0292647,33,262,-0.0176392,-99.6966,0.0135736,0.0175003,0.00157879,0.0180564,0.0130175,1.23217
279,661,-0.00691729,99.5829,0.0280697,42,262,-0.00692749,-99.5829,0.0119145,0.0172036,0.00213076,0.0179552,0.0111629,1.23169
288,661,0.0208789,98.9662,0.02752,51,262,0.020874,-98.9662,0.0105337,0.0169156,0.00269032,0.0178984,0.0095509,1.22056
297,661,0.0593687,98.7134,0.0248332,60,262,0.0593567,-98.7134,0.00943357,0.0166372,0.0032548,0.01789,0.00818082,1.20338
306,661,0.13878,98.3478,0.021603,69,262,0.138794,-98.3478,0.00885523,0.0163628,0.0038301,0.0179719,0.00724613,1.17307
315,661,0.155658,98.2974,0.0194791,78,262,0.15567,-98.2974,0.00893458,0.0161145,0.00442763,0.0182246,0.00682438,1.12605
324,661,0.209963,98.2113,0.0198589,87,262,0.209961,-98.2113,0.00979243,0.0158946,0.00503883,0.0187341,0.00695293,1.05763
207,670,-1.48641,99.582,0.0256179,-30,253,-1.4864,-99.582,0.033839,0.0191842,-0.00208008,0.0341285,0.0188947,-0.1383
216,670,-1.0222,99.4072,0.0250181,-21,253,-1.0222,-99.4072,0.0293114,0.0187728,-0.00165797,0.0295661,0.0185181,-0.152419
225,670,-0.651647,99.5038,0.0254548,-12,253,-0.651642,-99.5038,0.0254279,0.0184017,-0.00117651,0.0256197,0.0182099,-0.161576
234,670,-0.422748,99.659,0.0254492,-3,253,-0.422745,-99.659,0.0222399,0.0180568,-0.000672511,0.0223454,0.0179514,-0.155548
243,670,-0.266223,99.6469,0.0245275,6,253,-0.26622,-99.6469,0.019575,0.0177675,-0.000150763,0.0195875,0.017755,-0.0826479
252,670,-0.174866,99.6306,0.023465,15,253,-0.174866,-99.6306,0.0171761,0.0174877,0.000383108,0.0177455,0.0169183,0.978533
261,670,-0.12205,99.6133,0.0241811,24,253,-0.12204,-99.6133,0.0150409,0.0172218,0.000928827,0.0175638,0.0146989,1.21804
270,670,-0.0296258,99.723,0.0276962,33,253,-0.0296326,-99.723,0.0131721,0.0169702,0.00148457,0.0174817,0.0126607,1.23905
279,670,0.0332301,99.6199,0.0260693,42,253,0.0332336,-99.6199,0.0115724,0.0167335,0.00204832,0.0174476,0.0108583,1.23534
288,670,0.0243066,99.4776,0.0272708,51,253,0.024292,-99.4777,0.0102446,0.0165124,0.00261788,0.017462,0.00929501,1.22284
297,670,0.0398774,99.2897,0.0264293,60,253,0.0398865,-99.2897,0.00919136,0.0163079,0.00319089,0.0175291,0.00797019,1.20529
